club_id,club_code,name,domestic_competition_id,total_market_value,squad_size,average_age,foreigners_number,foreigners_percentage,national_team_players,stadium_name,stadium_seats,net_transfer_record,coach_name,url
1032,fc-reading,Fc Reading,GB1,33.66,26,25.9,12,46.2,6,Select Car Leasing Stadium,24161,+£8.37m,Brian McDermott,https://www.transfermarkt.co.uk/fc-reading/startseite/verein/1032
2323,orduspor,Orduspor,TR1,,0,,0,,0,19 Eylül Stadyum,11024,+-0,Héctor Cúper,https://www.transfermarkt.co.uk/orduspor/startseite/verein/2323
1387,acn-siena-1904,Acn Siena 1904,IT1,4.32,30,26.2,6,20.0,2,Artemio Franchi,15373,£-6Th.,Serse Cosmi,https://www.transfermarkt.co.uk/acn-siena-1904/startseite/verein/1387
3592,kryvbas-kryvyi-rig,Kryvbas Kryvyi Rig,UKR1,2.95,24,24.5,2,8.3,0,Shakhty Zhovtneva,2500,£-270Th.,Oleg Taran,https://www.transfermarkt.co.uk/kryvbas-kryvyi-rig/startseite/verein/3592
1071,wigan-athletic,Wigan Athletic,GB1,12.38,29,26.5,14,48.3,6,DW Stadium,25133,£-140Th.,Roberto Martínez,https://www.transfermarkt.co.uk/wigan-athletic/startseite/verein/1071
2703,spartak-vladikavkaz,Spartak Vladikavkaz,RU1,,1,20.0,0,,0,Republican Stadium Spartak,32464,+-0,Vladimir Gazzaev,https://www.transfermarkt.co.uk/spartak-vladikavkaz/startseite/verein/2703
142,real-saragossa,Real Saragossa,ES1,22.86,24,26.6,5,20.8,0,La Romareda,33068,+-0,Manolo Jiménez,https://www.transfermarkt.co.uk/real-saragossa/startseite/verein/142
566,beerschot-ac,Beerschot Ac,BE1,,0,,0,,0,Olympisch Stadion,12771,+-0,Adrie Koster,https://www.transfermarkt.co.uk/beerschot-ac/startseite/verein/566
1436,sc-beira-mar,Sc Beira Mar,PO1,135.0,22,27.5,9,40.9,0,Estádio Mário Duarte,12000,+-0,Ulisses Morais,https://www.transfermarkt.co.uk/sc-beira-mar/startseite/verein/1436
4750,sc-olhanense,Sc Olhanense,PO1,68.0,22,24.1,9,40.9,0,Estádio José Arcanjo,10080,+-0,Abel Xavier,https://www.transfermarkt.co.uk/sc-olhanense/startseite/verein/4750
23,eintracht-braunschweig,Eintracht Braunschweig,L1,6.48,27,24.9,3,11.1,0,EINTRACHT-Stadion,23325,+-0,Torsten Lieberknecht,https://www.transfermarkt.co.uk/eintracht-braunschweig/startseite/verein/23
2227,sk-tavriya-simferopol,Sk Tavriya Simferopol,UKR1,,0,,0,,0,RS Lokomotiv,19978,+-0,Giannis Christopoulos,https://www.transfermarkt.co.uk/sk-tavriya-simferopol/startseite/verein/2227
12438,volga-nizhniy-novgorod,Volga Nizhniy Novgorod,RU1,,0,,0,,0,Zentralstadion Lokomotiv,17856,+-0,Yuriy Kalitvintsev,https://www.transfermarkt.co.uk/volga-nizhniy-novgorod/startseite/verein/12438
2292,elazigspor,Elazigspor,TR1,563.0,40,23.2,0,,0,Elazığ Doğukent Stadı,2500,+£44Th.,Trond Sollied,https://www.transfermarkt.co.uk/elazigspor/startseite/verein/2292
1210,as-livorno,As Livorno,IT1,225.0,25,27.0,0,,0,Armando Picchi,19238,+-0,Davide Nicola,https://www.transfermarkt.co.uk/as-livorno/startseite/verein/1210
1627,catania-calcio,Catania Calcio,IT1,6.56,25,26.8,5,20.0,0,Cibali - Angelo Massimino,20016,+-0,Rolando Maran,https://www.transfermarkt.co.uk/catania-calcio/startseite/verein/1627
16245,fk-sevastopol,Fk Sevastopol,UKR1,,0,,0,,0,SK Sevastopol,5826,+-0,Oleg Kononov,https://www.transfermarkt.co.uk/fk-sevastopol/startseite/verein/16245
1423,fc-valenciennes,Fc Valenciennes,FR1,18.41,29,25.6,11,37.9,2,Stade du Hainaut,25000,+£1.35m,Daniel Sanchez,https://www.transfermarkt.co.uk/fc-valenciennes/startseite/verein/1423
750,fc-sochaux-montbeliard,Fc Sochaux Montbeliard,FR1,17.51,24,24.8,8,33.3,3,Stade Auguste-Bonal,20005,+£720Th.,Eric Hély,https://www.transfermarkt.co.uk/fc-sochaux-montbeliard/startseite/verein/750
1147,ac-ajaccio,Ac Ajaccio,FR1,16.52,25,26.8,10,40.0,7,Stade François-Coty,10446,+-0,Fabrizio Ravanelli,https://www.transfermarkt.co.uk/ac-ajaccio/startseite/verein/1147
1411,raec-mons,Raec Mons,BE1,,0,,0,,0,Charles Tondreau Stadion,12662,+-0,Enzo Scifo,https://www.transfermarkt.co.uk/raec-mons/startseite/verein/1411
3302,ud-almeria,Ud Almeria,ES1,,28,25.5,14,50.0,3,Power Horse Stadium,15274,€-17.00m,Francisco Rodríguez,https://www.transfermarkt.co.uk/ud-almeria/startseite/verein/3302
993,fc-cordoba,Fc Cordoba,ES1,,24,27.1,3,12.5,0,Nuevo Arcángel,21822,+-0,Albert Ferrer,https://www.transfermarkt.co.uk/fc-cordoba/startseite/verein/993
20100,fc-vestsjaelland,Fc Vestsjaelland,DK1,,0,,0,,0,Harboe Arena,10000,+-0,Michael Hansen,https://www.transfermarkt.co.uk/fc-vestsjaelland/startseite/verein/20100
20698,balikesirspor,Balikesirspor,TR1,,23,22.6,1,4.3,0,Balıkesir Atatürk,15800,+-0,Ismail Ertekin,https://www.transfermarkt.co.uk/balikesirspor/startseite/verein/20698
6894,kayseri-erciyesspor,Kayseri Erciyesspor,TR1,,0,,0,,0,Kayseri Atatürk Spor Kompleksi Yan Açık Saha,2000,+-0,Hikmet Karaman,https://www.transfermarkt.co.uk/kayseri-erciyesspor/startseite/verein/6894
5572,niki-volou,Niki Volou,GR1,,28,26.7,9,32.1,2,Panthessaliko Stadio,22700,+-0,Wiljan Vloet,https://www.transfermarkt.co.uk/niki-volou/startseite/verein/5572
5220,gs-ergotelis,Gs Ergotelis,GR1,,3,23.0,0,,0,Pankritio Stadio,25780,+-0,Juan Ferrando,https://www.transfermarkt.co.uk/gs-ergotelis/startseite/verein/5220
1429,cesena-fc,Cesena Fc,IT1,,26,25.0,4,15.4,0,Orogel Stadium - Dino Manuzzi,23860,+€335k,Pierpaolo Bisoli,https://www.transfermarkt.co.uk/cesena-fc/startseite/verein/1429
2783,metalurg-donetsk,Metalurg Donetsk,UKR1,,0,,0,,0,Metalurg,5090,+-0,Volodymyr Pyatenko,https://www.transfermarkt.co.uk/metalurg-donetsk/startseite/verein/2783
1186,torpedo-moskau,Torpedo Moskau,RU1,,25,27.3,8,32.0,2,Luzhniki Stadium,81000,€-2.92m,Nikolay Savichev,https://www.transfermarkt.co.uk/torpedo-moskau/startseite/verein/1186
1039,queens-park-rangers,Queens Park Rangers,GB1,,30,25.0,18,60.0,8,Loftus Road Stadium,18360,+€900k,Harry Redknapp,https://www.transfermarkt.co.uk/queens-park-rangers/startseite/verein/1039
14171,thonon-evian-grand-geneve-fc,Thonon Evian Grand Geneve Fc,FR1,,28,27.0,6,21.4,1,Stade Joseph-Moynat,3600,+-0,Pascal Dupraz,https://www.transfermarkt.co.uk/thonon-evian-grand-geneve-fc/startseite/verein/14171
3327,fc-penafiel,Fc Penafiel,PO1,,26,27.6,4,15.4,0,Estádio Municipal 25 de Abril,5230,+-0,Ricardo Chéu,https://www.transfermarkt.co.uk/fc-penafiel/startseite/verein/3327
68608,cf-os-belenenses,Cf Os Belenenses,PO1,,28,24.8,4,14.3,0,Estádio do Restelo,19980,+-0,Lito Vidigal,https://www.transfermarkt.co.uk/cf-os-belenenses/startseite/verein/68608
204,lierse-sk,Lierse Sk,BE1,,0,,0,,0,Herman Vanderpoortenstadion,14538,+-0,Stanley Menzo,https://www.transfermarkt.co.uk/lierse-sk/startseite/verein/204
1455,fc-dordrecht,Fc Dordrecht,NL1,,28,22.4,11,39.3,0,Matchoholic Stadion,4235,+-0,Ernie Brandts,https://www.transfermarkt.co.uk/fc-dordrecht/startseite/verein/1455
976,cf-uniao-madeira,Cf Uniao Madeira,PO1,,6,22.3,0,,0,Centro Desportivo da Madeira,2500,+-0,Luís Norton de Matos,https://www.transfermarkt.co.uk/cf-uniao-madeira/startseite/verein/976
11126,mordovia-saransk,Mordovia Saransk,RU1,,0,,0,,0,Mordovia Arena,44442,+-0,Andrey Gordeev,https://www.transfermarkt.co.uk/mordovia-saransk/startseite/verein/11126
3558,gfc-ajaccio,Gfc Ajaccio,FR1,585.0,22,23.9,2,9.1,0,Stade Ange-Casanova,4050,+-0,Thierry Laurey,https://www.transfermarkt.co.uk/gfc-ajaccio/startseite/verein/3558
6994,metalurg-zaporizhya-bis-2016-,Metalurg Zaporizhya Bis 2016 ,UKR1,,0,,0,,0,Slavutych Arena,11883,+-0,Anatoliy Chantsev,https://www.transfermarkt.co.uk/metalurg-zaporizhya-bis-2016-/startseite/verein/6994
6996,goverla-uzhgorod,Goverla Uzhgorod,UKR1,,0,,0,,0,Avangard,10640,+-0,Vyacheslav Groznyi,https://www.transfermarkt.co.uk/goverla-uzhgorod/startseite/verein/6996
28956,ael-kalloni,Ael Kalloni,GR1,,0,,0,,0,Stadio Mytilinis,4000,+-0,Thalis Theodoridis,https://www.transfermarkt.co.uk/ael-kalloni/startseite/verein/28956
4102,carpi-fc-1909,Carpi Fc 1909,IT1,1.24,31,22.8,6,19.4,0,Sandro Cabassi,5510,+£540Th.,Fabrizio Castori,https://www.transfermarkt.co.uk/carpi-fc-1909/startseite/verein/4102
7185,panthrakikos-komotini,Panthrakikos Komotini,GR1,,5,26.2,3,60.0,1,Stadio Komotinis OPAP,5601,+-0,José Manuel Roca,https://www.transfermarkt.co.uk/panthrakikos-komotini/startseite/verein/7185
3216,mersin-idmanyurdu,Mersin Idmanyurdu,TR1,,0,,0,,0,Mersin Stadyumu,25000,+-0,Mesut Bakkal,https://www.transfermarkt.co.uk/mersin-idmanyurdu/startseite/verein/3216
825,eskisehirspor,Eskisehirspor,TR1,1.1,21,21.2,2,9.5,0,Eskişehir Yeni Stadyum,34930,+£15Th.,Ilhan Mayakan,https://www.transfermarkt.co.uk/eskisehirspor/startseite/verein/825
